,time,fwd,trn,oL,oR
1456764783,7.710000038,167,146.1921922,55,75
1456764783,7.769999981,167,143.6005524,56,75
1456764783,7.829999924,167,143.6005524,57,75
1456764783,7.889999866,167,141.0065735,58,75
1456764783,7.950000048,167,135.8115171,59,75
1456764783,8.00999999,167,135.8115171,60,75
1456764783,8.069999933,167,133.2104048,61,75
1456764783,8.129999876,167,130.6068838,62,75
1456764783,8.190000057,167,128.0009427,63,75
1456764783,8.25,167,122.7817665,63,75
1456764783,8.309999943,167,120.168521,65,75
1456764783,8.369999886,167,120.168521,66,75
1456764783,8.430000067,167,117.5528344,67,76
1456764783,8.49000001,167,114.9347079,68,77
1456764784,8.549999952,167,114.8895108,69,78
1456764784,8.609999895,167,114.8895108,70,79
1456764784,8.670000076,167,114.866786,71,80
1456764784,8.730000019,167,114.8210814,72,81
1456764784,8.789999962,167,114.8210814,73,82
1456764784,8.849999905,167,114.7750338,74,83
1456764784,8.910000086,167,114.7518803,75,84
1456764784,8.970000029,167,114.7518803,76,85
1456764784,9.029999971,167,114.7286395,77,86
1456764784,9.089999914,167,114.6818943,78,87
1456764784,9.150000095,167,114.6818943,79,88
1456764784,9.210000038,167,114.6347945,80,89
1456764784,9.269999981,167,114.6347945,81,90
1456764784,9.329999924,167,114.6111103,81,91
1456764784,9.389999866,167,117.1847463,81,92
1456764784,9.450000048,167,119.7846346,81,92
1456764784,9.50999999,167,119.7846346,81,94
1456764785,9.569999933,167,122.3870165,81,95
1456764785,9.629999876,167,127.5993112,81,96
1456764785,9.690000057,167,127.5993112,81,96
1456764785,9.75,167,130.2092426,81,98
1456764785,9.809999943,167,135.4367004,82,99
1456764785,9.869999886,167,135.4367004,83,100
1456764785,9.930000067,167,135.4367004,83,100
1456764785,9.99000001,167,135.4860354,85,102
1456764785,10.04999995,167,135.4860354,86,103
1456764785,10.1099999,167,135.519246,87,104
1456764785,10.17000008,167,135.519246,88,105
1456764785,10.23000002,167,135.5359486,89,106
1456764785,10.28999996,167,135.5695504,90,107
1456764785,10.3499999,167,135.5864503,91,108
1456764785,10.41000009,167,135.5864503,92,109
1456764785,10.47000003,167,135.6034167,93,110
1456764786,10.52999997,167,135.6375508,94,111
1456764786,10.58999991,167,135.6375508,95,112
1456764786,10.6500001,167,135.6547192,96,113
1456764786,10.71000004,167,135.6719558,97,114
1456764786,10.76999998,167,135.6892608,98,115
1456764786,10.82999992,167,135.7240782,99,116
1456764786,10.88999987,167,135.7415913,100,117
1456764786,10.95000005,167,135.7415913,100,117
1456764786,11.00999999,167,135.7768285,101,118
1456764786,11.06999993,167,135.7768285,103,119
1456764786,11.12999988,167,135.7945534,104,119
1456764786,11.19000006,167,133.1940412,105,119
1456764786,11.25,167,127.9851411,106,119
1456764786,11.30999994,167,127.9851411,107,120
1456764786,11.36999989,167,125.3734252,108,121
1456764786,11.43000007,167,125.3701072,109,122
1456764786,11.49000001,167,125.3701072,110,123
1456764787,11.54999995,167,125.3667757,111,124
1456764787,11.6099999,167,125.3600717,112,125
1456764787,11.67000008,167,125.3600717,113,126
1456764787,11.73000002,167,125.356699,114,127
1456764787,11.78999996,167,125.3533124,115,128
